gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
28,19392,10406.9,90,2754.59,32.2,24.4,43.4,97.2,43.4,19392,17093,10.36,7.30,15884,10440.4,3508,0.00,22.07,28356.3,10,0.0978,0.1168,0.1178,48386,28440,95241,56880
29,19392,10529.0,37,2740.28,32.8,23.4,43.8,96.9,43.8,19392,17093,10.36,7.30,16761,10462.5,2631,0.00,22.33,28473.2,11,0.0977,0.1165,0.1177,58700,29154,105811,58303
30,19392,10518.3,37,2743.87,38.8,19.4,41.9,95.5,41.9,19392,17093,10.36,7.30,15295,10476.5,4097,0.00,22.50,28395.5,12,0.0975,0.1163,0.1175,46547,28668,88423,57011
31,19392,10670.0,37,2856.76,41.6,16.9,41.6,93.9,41.6,19392,17093,10.36,7.30,17111,10524.9,2281,0.00,23.06,28656.5,13,0.0974,0.1161,0.1174,55917,30252,111397,60225
32,19392,10544.8,569,2601.29,41.6,15.3,43.1,92.7,43.1,19392,17093,10.36,7.30,16078,10529.9,3315,0.00,23.12,28536.9,0,0.0972,0.1158,0.1172,50425,29392,98923,58711
33,19392,10462.0,392,2594.31,43.4,11.3,45.3,89.0,45.3,19392,17093,10.36,7.30,17777,10512.9,1615,0.00,22.92,28438.0,1,0.0971,0.1156,0.1171,54643,28770,112231,57524
34,19392,10269.1,52,3199.13,35.3,27.2,37.5,99.1,37.5,19392,17093,10.36,7.30,16308,10451.9,3084,0.00,22.21,28167.2,2,0.0969,0.1153,0.1169,61634,27174,116904,54220
35,19392,10580.7,1497,2585.45,44.7,16.6,38.8,93.4,44.7,19392,17093,10.36,7.30,15979,10484.1,3413,0.00,22.59,28442.9,3,0.0967,0.1151,0.1167,65959,28941,126605,57646
36,19392,10491.6,856,2667.45,38.4,18.8,42.8,95.1,42.8,19392,17093,10.36,7.30,16455,10486.0,2937,0.00,22.61,28522.0,0,0.0965,0.1148,0.1165,57035,29450,108692,58716
37,19392,10517.8,99,2788.90,38.8,22.5,38.8,97.4,38.8,19392,17093,10.36,7.30,16522,10493.9,2870,0.00,22.70,28557.5,1,0.0964,0.1145,0.1164,49847,29692,94441,59074
38,19392,10679.4,106,2635.25,42.8,17.8,39.4,94.5,42.8,19392,17093,10.36,7.30,16915,10540.3,2478,0.00,23.24,28680.0,2,0.0962,0.1143,0.1162,52291,30352,104640,60471
