gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
119,18422,10811.4,1045,2406.56,56.9,13.4,29.7,85.5,56.9,17971,18422,9.93,6.73,17320,10716.9,1102,13.24,28.04,27879.6,5,0.0742,0.0813,0.0942,62445,30960,111605,61661
120,18422,10922.0,1792,2551.97,52.5,14.4,33.1,89.1,52.5,17971,18422,9.93,6.73,16451,10768.2,1971,13.24,28.65,28120.8,6,0.0739,0.0809,0.0939,54942,32402,102588,64596
121,18422,10868.5,576,2383.56,54.1,11.6,34.4,86.4,54.1,17971,18422,9.93,6.73,16268,10793.3,2155,13.24,28.95,28069.4,0,0.0736,0.0804,0.0936,61272,32012,119666,63699
122,18422,10747.8,1184,2705.30,53.4,16.3,30.3,89.4,53.4,17971,18422,9.93,6.73,16771,10781.9,1651,13.24,28.81,27930.7,1,0.0733,0.0800,0.0933,61754,31071,120678,62031
123,18422,10952.1,460,2729.95,47.2,15.0,37.8,91.8,47.2,17971,18422,9.93,6.73,17660,10824.5,762,13.24,29.32,28134.3,2,0.0730,0.0796,0.0930,61305,32367,118313,64340
124,18422,10922.3,1042,2467.47,54.1,9.1,36.9,84.5,54.1,17971,18422,9.93,6.73,16630,10848.9,1792,13.24,29.61,28132.5,0,0.0728,0.0791,0.0928,56881,32260,107178,64220
125,18422,10844.6,1374,2757.16,49.7,16.9,33.4,91.9,49.7,17971,18422,9.93,6.73,16167,10847.8,2255,13.24,29.60,28058.4,1,0.0725,0.0787,0.0925,59009,31725,111694,63340
126,18422,10916.5,1055,2521.16,61.9,14.1,24.1,80.9,61.9,17971,18422,9.93,6.73,16772,10865.0,1650,13.24,29.81,28102.3,2,0.0722,0.0783,0.0922,50308,32011,101892,63718
127,18422,10718.0,1037,2540.51,62.5,18.4,19.1,80.9,62.5,17971,18422,9.93,6.73,15737,10828.2,2685,13.24,29.37,27970.3,3,0.0719,0.0779,0.0919,54553,31195,110155,62283
128,18422,10879.3,286,2383.89,61.6,20.0,18.4,82.1,61.6,17971,18422,9.93,6.73,16090,10841.0,2332,13.24,29.52,28153.5,4,0.0716,0.0775,0.0916,59874,32379,116931,64646
129,18422,10829.6,149,2701.14,57.8,24.4,17.8,86.2,57.8,17971,18422,9.93,6.73,16915,10838.1,1507,13.24,29.49,28092.7,0,0.0714,0.0770,0.0914,60441,31976,119620,63869
130,18422,10911.5,47,2566.83,58.8,23.1,18.1,85.3,58.8,17971,18422,9.93,6.73,15737,10856.5,2685,13.24,29.70,28128.9,1,0.0711,0.0766,0.0911,54449,32171,104830,64221
131,18422,10995.0,37,2534.86,66.3,16.9,16.9,75.6,66.3,17971,18422,9.93,6.73,17720,10891.1,702,13.24,30.12,28235.6,2,0.0708,0.0762,0.0908,62304,32811,121986,65361
132,18422,10885.6,427,2400.42,64.7,19.7,15.6,77.8,64.7,17971,18422,9.93,6.73,16126,10889.7,2296,13.24,30.10,28126.3,3,0.0705,0.0758,0.0905,51422,31999,101655,64115
